date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:48:55	39300/39300	---MCZ	200	added ('OK')	text/html	date:Tue,%2025%20Sep%202018%2013:48:53%20GMT	http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122/http_/www.ticketsummit.org_80/2010/vegas/default.html	(from )
09:48:56	7403/7403	---MCZ	200	added ('OK')	application/x-javascript	date:Thu,%2015%20Mar%202018%2021:44:06%20GMT	http://archive.org/includes/analytics.js?v=cf34f82	C:/My%20Web%20Sites/2010/archive.org/includes/analytics2a5b.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:57	18831/18831	---M--	200	added ('OK')	application/javascript	etag:%22wzsdm-1536297681-18831-1492060197%22	http://web.archive.org/static/js/ait-client-rewrite.js?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/js/ait-client-rewrite7300.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:58	6857/6857	---M--	200	added ('OK')	text/css	etag:%22wzsdm-1536297681-6857-1017513663%22	http://web.archive.org/static/css/banner-styles.css?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/css/banner-styles7300.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:58	5825/5825	---M--	200	added ('OK')	text/css	etag:%22wzsdm-1536297681-5825-715654559%22	http://web.archive.org/static/css/iconochive.css?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/css/iconochive7300.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:59	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:48:57%20GMT	http://web.archive.org/web/20101121060122cs_/http://www.ticketsummit.org:80/2010/styles/shared.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122cs_/http_/www.ticketsummit.org_80/2010/styles/shared.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:59	3695/3695	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2013:48:58%20GMT	http://web.archive.org/web/20120420200551cs_/http://www.ticketsummit.org/2010/styles/shared.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20120420200551cs_/http_/www.ticketsummit.org/2010/styles/shared.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:48:59	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:48:58%20GMT	http://web.archive.org/web/20101121060122cs_/http://www.ticketsummit.org:80/2010/styles/Vegas.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122cs_/http_/www.ticketsummit.org_80/2010/styles/Vegas.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:00	2949/2949	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2013:48:58%20GMT	http://web.archive.org/web/20120722224800cs_/http://www.ticketsummit.org/2010/styles/Vegas.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20120722224800cs_/http_/www.ticketsummit.org/2010/styles/Vegas.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:00	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:48:59%20GMT	http://web.archive.org/web/20101121060122cs_/http://www.ticketsummit.org:80/tsbbqstyles/2010-aesthetics.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122cs_/http_/www.ticketsummit.org_80/tsbbqstyles/2010-aesthetics.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:01	9542/9542	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Sep%202018%2013:48:59%20GMT	http://web.archive.org/web/20091027213603cs_/http://www.ticketsummit.org/tsbbqstyles/2010-aesthetics.css	C:/My%20Web%20Sites/2010/web.archive.org/web/20091027213603cs_/http_/www.ticketsummit.org/tsbbqstyles/2010-aesthetics.css	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:01	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:00%20GMT	http://web.archive.org/web/20101121060122im_/http://www.ticketsummit.org:80/ppimages/countdown2.jpg	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122im_/http_/www.ticketsummit.org_80/ppimages/countdown2.jpg	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:02	11474/11474	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2025%20Sep%202018%2013:49:00%20GMT	http://web.archive.org/web/20110728110250im_/http://www.ticketsummit.org/ppimages/countdown2.jpg	C:/My%20Web%20Sites/2010/web.archive.org/web/20110728110250im_/http_/www.ticketsummit.org/ppimages/countdown2.jpg	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:04	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:02%20GMT	http://web.archive.org/web/20101121060122js_/http://www.ticketsummit.org:80/2010/scripts/jquery-ahover.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122js_/http_/www.ticketsummit.org_80/2010/scripts/jquery-ahover.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:05	2223/2223	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Sep%202018%2013:49:03%20GMT	http://web.archive.org/web/20120428165124js_/http://www.ticketsummit.org/2010/scripts/jquery-ahover.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20120428165124js_/http_/www.ticketsummit.org/2010/scripts/jquery-ahover.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:07	44809/44809	---MCZ	404	error ('NOT%20FOUND')	text/html	date:Tue,%2025%20Sep%202018%2013:49:06%20GMT	http://web.archive.org/web/20101121060122/https://tickettransaction2.com/ts/brokers/01504-008/images/ts2010_header.jpg	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122/https_/tickettransaction2.com/ts/brokers/01504-008/images/ts2010_header.jpg	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:08	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:06%20GMT	http://web.archive.org/web/20101121060122js_/http://www.ticketsummit.org:80/2010/scripts/jquery.easing.1.3.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122js_/http_/www.ticketsummit.org_80/2010/scripts/jquery.easing.1.3.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:08	8690/8690	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Sep%202018%2013:49:07%20GMT	http://web.archive.org/web/20120420200451js_/http://www.ticketsummit.org/2010/scripts/jquery.easing.1.3.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20120420200451js_/http_/www.ticketsummit.org/2010/scripts/jquery.easing.1.3.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:09	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:07%20GMT	http://web.archive.org/web/20101121060122js_/http://www.ticketsummit.org:80/2010/scripts/jquery.fancybox-1.2.1.pack.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122js_/http_/www.ticketsummit.org_80/2010/scripts/jquery.fancybox-1.2.1.pack.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:09	8899/8899	---M--	200	added ('OK')	text/javascript	date:Tue,%2025%20Sep%202018%2013:49:08%20GMT	http://web.archive.org/web/20120722224813js_/http://www.ticketsummit.org/2010/scripts/jquery.fancybox-1.2.1.pack.js	C:/My%20Web%20Sites/2010/web.archive.org/web/20120722224813js_/http_/www.ticketsummit.org/2010/scripts/jquery.fancybox-1.2.1.pack.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:09	1793/1793	---M--	200	added ('OK')	application/javascript	etag:%22wzsdm-1536297681-1793-545916128%22	http://web.archive.org/static/js/timestamp.js?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/js/timestamp7300.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:10	4017/4017	---M--	200	added ('OK')	application/javascript	etag:%22wzsdm-1536297681-4017-581895390%22	http://web.archive.org/static/js/graph-calc.js?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/js/graph-calc7300.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:10	10654/10654	---M--	200	added ('OK')	application/javascript	etag:%22wzsdm-1536297681-10654-905512523%22	http://web.archive.org/static/js/auto-complete.js?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/js/auto-complete7300.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:11	19942/19942	---M--	200	added ('OK')	application/javascript	etag:%22wzsdm-1536297681-19942-380568575%22	http://web.archive.org/static/js/toolbar.js?v=1536297681.0	C:/My%20Web%20Sites/2010/web.archive.org/static/js/toolbar7300.js	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:11	7564/7564	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1536297681-7564-1983580500%22	http://web.archive.org/static/images/toolbar/wayback-toolbar-logo.png	C:/My%20Web%20Sites/2010/web.archive.org/static/images/toolbar/wayback-toolbar-logo.png	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:12	294/294	---M--	200	added ('OK')	image/png	etag:%22wzsdm-1536297681-294-946734722%22	http://web.archive.org/static/images/toolbar/wm_tb_nxt_on.png	C:/My%20Web%20Sites/2010/web.archive.org/static/images/toolbar/wm_tb_nxt_on.png	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:12	913/913	---M--	200	added ('OK')	image/gif	etag:%22wzsdm-1536297681-913-438895683%22	http://web.archive.org/static/images/loading.gif	C:/My%20Web%20Sites/2010/web.archive.org/static/images/loading.gif	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:13	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:12%20GMT	http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/register.aspx	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122/http_/www.ticketsummit.org_80/2010/vegas/register.aspx	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
09:49:14	32/32	---M--	302	error ('FOUND')	text/plain	date:Tue,%2025%20Sep%202018%2013:49:12%20GMT	http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/schedule.aspx	C:/My%20Web%20Sites/2010/web.archive.org/web/20101121060122/http_/www.ticketsummit.org_80/2010/vegas/schedule.aspx	(from http://web.archive.org/web/20101121060122/http://www.ticketsummit.org:80/2010/vegas/default.aspx)
